Date,Time,Open,High,Low,Close,Volume
2026.04.08,0:00,4826.799805,4833.5,4819.799805,4832,2159
2026.04.08,0:30,4831.399902,4836.100098,4826.700195,4832.700195,1165
2026.04.08,10:00,4803.700195,4818.799805,4788,4795.100098,8024
2026.04.08,10:30,4794.899902,4797.299805,4757.600098,4762.200195,12476
2026.04.08,11:00,4761.600098,4783.299805,4759.899902,4776.200195,6669
2026.04.08,11:30,4776.299805,4788.799805,4776.200195,4782,3543
2026.04.08,12:00,4782.200195,4788.299805,4770.899902,4775.100098,3778
2026.04.08,12:30,4775.600098,4791.100098,4773.299805,4785.899902,2487
2026.04.08,13:00,4785.700195,4789.899902,4771.5,4776.600098,5280
2026.04.08,13:30,4776.799805,4780.100098,4755.5,4759.5,4864
2026.04.08,14:00,4759.100098,4769.799805,4741.100098,4747.399902,6815
2026.04.08,14:30,4747.600098,4750,4728.100098,4730.100098,4547
2026.04.08,15:00,4729.299805,4743.700195,4720.600098,4733.5,3391
2026.04.08,15:30,4733,4756.600098,4733,4755.299805,2673
2026.04.08,16:00,4755.200195,4757.299805,4746.5,4748.299805,1007
2026.04.08,16:30,4747.399902,4749.299805,4742.100098,4745,794
2026.04.08,18:00,4744.799805,4757.700195,4728.5,4737.200195,1340
2026.04.08,18:30,4738,4744.200195,4730,4741.5,1221
2026.04.08,19:00,4741.200195,4741.299805,4728.5,4734.600098,1488
2026.04.08,19:30,4733.700195,4743.399902,4730.700195,4738.799805,771
2026.04.08,1:00,4833,4844.899902,4829.399902,4843.899902,1776
2026.04.08,1:30,4844,4872.200195,4841.700195,4855.5,4519
2026.04.08,20:00,4739.399902,4739.600098,4718.600098,4730.200195,2322
2026.04.08,20:30,4730.100098,4742.399902,4728.600098,4730.399902,1559
2026.04.08,21:00,4730.200195,4746.600098,4722.399902,4727.600098,3496
2026.04.08,21:30,4727.299805,4752.200195,4727,4751.200195,2415
2026.04.08,22:00,4751.5,4752.799805,4744.799805,4749.100098,1653
2026.04.08,22:30,4748.799805,4756.600098,4741,4742.100098,2146
2026.04.08,23:00,4742.200195,4743.399902,4728,4735.399902,1993
2026.04.08,23:30,4735.799805,4737.799805,4729.5,4735,1069
2026.04.08,2:00,4855.200195,4863.899902,4848.600098,4863.700195,5084
2026.04.08,2:30,4863.200195,4866.799805,4846.200195,4846.600098,5289
2026.04.08,3:00,4846.799805,4847.299805,4831,4844.299805,3129
2026.04.08,3:30,4844.100098,4846.700195,4831.600098,4839.700195,2514
2026.04.08,4:00,4839.899902,4846,4825,4835.5,2855
2026.04.08,4:30,4834.799805,4835.600098,4817.5,4821.799805,3719
2026.04.08,5:00,4821.899902,4834,4821.200195,4825.399902,2564
2026.04.08,5:30,4825.299805,4831,4802.899902,4810.200195,4843
2026.04.08,6:00,4810.299805,4819,4798.200195,4809.799805,2678
2026.04.08,6:30,4809.5,4823.100098,4806.899902,4809.700195,2566
2026.04.08,7:00,4809.299805,4825.5,4807.200195,4818.799805,3998
2026.04.08,7:30,4819.200195,4830.399902,4806.399902,4826.399902,3576
2026.04.08,8:00,4826.299805,4834.799805,4793.700195,4810.799805,7409
2026.04.08,8:30,4810.899902,4829.700195,4809.799805,4827.100098,3696
2026.04.08,9:00,4826.600098,4833.600098,4816.799805,4818.100098,4293
2026.04.08,9:30,4817.700195,4822.200195,4792.799805,4804.100098,9785
2026.04.09,0:00,4734.600098,4746.299805,4733,4739.799805,684
2026.04.09,0:30,4739.399902,4748.399902,4737.200195,4744.200195,1051
2026.04.09,1:00,4743.899902,4749.600098,4733.600098,4749.5,1164
2026.04.09,1:30,4749.200195,4749.600098,4729.100098,4736.399902,2428
2026.04.09,2:00,4736.700195,4749.200195,4735,4741.200195,2082
2026.04.09,2:30,4741.700195,4746.600098,4727.200195,4736.299805,2796
2026.04.09,3:00,4736.5,4754.100098,4729.5,4732.200195,4698
2026.04.09,3:30,4732.799805,4755.200195,4732.700195,4748.399902,4197
2026.04.09,4:00,4748.299805,4752.100098,4744.100098,4745.600098,1882
2026.04.09,4:30,4745.899902,4758.600098,4744.899902,4750.5,2332
